"","UNU KEY","Year","Variable","Value"
"1","0101","2008","£ per Number of items",102.41
"2","0101","2008","Value £000's",5249
"3","0101","2008","Volume (Number of items)",51250
"4","0101","2009","£ per Number of items",193.07
"5","0101","2009","Value £000's",4072
"6","0101","2009","Volume (Number of items)",21090
"7","0101","2010","Value £000's",4069
"8","0101","2010","Volume (Number of items)",0
"9","0101","2011","Value £000's",3654
"10","0101","2011","Volume (Number of items)",0
"11","0101","2012","Value £000's",3342
"12","0101","2012","Volume (Number of items)",0
"13","0101","2013","Value £000's",3074
"14","0101","2013","Volume (Number of items)",0
"15","0101","2014","Value £000's",3264
"16","0101","2014","Volume (Number of items)",0
"17","0101","2015","Value £000's",2564
"18","0101","2015","Volume (Number of items)",0
"19","0101","2016","Value £000's",3207
"20","0101","2016","Volume (Number of items)",0
"21","0101","2017","Value £000's",2113
"22","0101","2017","Volume (Number of items)",0
"23","0101","2018","Value £000's",2211
"24","0101","2018","Volume (Number of items)",0
"25","0101","2019","Value £000's",1809
"26","0101","2019","Volume (Number of items)",0
"27","0101","2020","Value £000's",0
"28","0101","2020","Volume (Number of items)",0
"29","0102","2012","Value £000's",0
"30","0102","2012","Volume (Number of items)",0
"31","0102","2013","Value £000's",0
"32","0102","2013","Volume (Number of items)",0
"33","0102","2014","Value £000's",0
"34","0102","2014","Volume (Number of items)",0
"35","0102","2015","Value £000's",0
"36","0102","2015","Volume (Number of items)",0
"37","0102","2016","Value £000's",0
"38","0102","2016","Volume (Number of items)",0
"39","0102","2017","Value £000's",0
"40","0102","2017","Volume (Number of items)",0
"41","0103","2008","£ per Number of items",404.03
"42","0103","2008","Value £000's",158145
"43","0103","2008","Volume (Number of items)",741939
"44","0103","2009","Value £000's",90149
"45","0103","2009","Volume (Number of items)",0
"46","0103","2010","Value £000's",98185
"47","0103","2010","Volume (Number of items)",0
"48","0103","2011","Value £000's",97772
"49","0103","2011","Volume (Number of items)",0
"50","0103","2012","Value £000's",0
"51","0103","2012","Volume (Number of items)",0
"52","0103","2013","Value £000's",0
"53","0103","2013","Volume (Number of items)",0
"54","0103","2014","Value £000's",0
"55","0103","2014","Volume (Number of items)",0
"56","0103","2015","Value £000's",0
"57","0103","2015","Volume (Number of items)",0
"58","0103","2016","Value £000's",0
"59","0103","2016","Volume (Number of items)",0
"60","0103","2017","Value £000's",0
"61","0103","2017","Volume (Number of items)",0
"62","0103","2018","£ per Number of items",558.47
"63","0103","2018","Value £000's",122084
"64","0103","2018","Volume (Number of items)",218606
"65","0103","2019","£ per Number of items",745.77
"66","0103","2019","Value £000's",117350
"67","0103","2019","Volume (Number of items)",157354
"68","0103","2020","£ per Number of items",777.47
"69","0103","2020","Value £000's",114437
"70","0103","2020","Volume (Number of items)",147192
"71","0104","2008","£ per Number of items",681.95
"72","0104","2008","Value £000's",1730865
"73","0104","2008","Volume (Number of items)",12690540
"74","0104","2009","£ per Number of items",774
"75","0104","2009","Value £000's",1736890
"76","0104","2009","Volume (Number of items)",11220160
"77","0104","2010","Value £000's",0
"78","0104","2010","Volume (Number of items)",0
"79","0104","2011","Value £000's",0
"80","0104","2011","Volume (Number of items)",0
"81","0104","2012","Value £000's",0
"82","0104","2012","Volume (Number of items)",0
"83","0104","2013","Value £000's",0
"84","0104","2013","Volume (Number of items)",0
