"","model","year","component","product","material","value"
"1","Nokia 5165 ","1998","Display","Basic mobile phone","Aluminum",1.7
"2","Nokia 5165 ","1998","Display","Basic mobile phone","Plastic",1.7
"3","Nokia 5165 ","1998","Display","Basic mobile phone","Flat panel glass",4.8
"4","Nokia 5165 ","1998","Display","Basic mobile phone","Total mass (g)",8.2
"5","Nokia 5165 ","1998","Main body","Basic mobile phone","Steel",2.2
"6","Nokia 5165 ","1998","Main body","Basic mobile phone","Plastic",45.7
"7","Nokia 5165 ","1998","Main body","Basic mobile phone","Li-ion battery",73.3
"8","Nokia 5165 ","1998","Main body","Basic mobile phone","PCB",42.6
"9","Nokia 5165 ","1998","Main body","Basic mobile phone","Others",1.1
"10","Nokia 5165 ","1998","Main body","Basic mobile phone","Total mass (g)",164.9
"11","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Aluminum",1.7
"12","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Steel",2.2
"13","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Plastic",47.4
"14","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Li-ion battery",73.3
"15","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","PCB",42.6
"16","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Flat panel glass",4.8
"17","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Others",1.1
"18","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Total mass (g)",173.1
"19","Sanyo SCP 4000 ","1999","Display","Basic mobile phone","Flat panel glass",5.7
"20","Sanyo SCP 4000 ","1999","Display","Basic mobile phone","Total mass (g)",5.7
"21","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Steel",2.9
"22","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Plastic",30.3
"23","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Li-ion battery",47.6
"24","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","PCB",30.6
"25","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Others",7.5
"26","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Total mass (g)",118.9
"27","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","Steel",2.9
"28","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","Plastic",30.3
"29","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","Li-ion battery",47.6
"30","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","PCB",30.6
"31","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","Flat panel glass",5.7
"32","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","Others",7.5
"33","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","Total mass (g)",124.6
"34","LG VX 3200 ","2004","Display","Basic mobile phone","Plastic",2.2
"35","LG VX 3200 ","2004","Display","Basic mobile phone","Flat panel glass",3.7
"36","LG VX 3200 ","2004","Display","Basic mobile phone","Total mass (g)",5.9
"37","LG VX 3200 ","2004","Main body","Basic mobile phone","Copper",6.5
"38","LG VX 3200 ","2004","Main body","Basic mobile phone","Steel",0.4
"39","LG VX 3200 ","2004","Main body","Basic mobile phone","Plastic",36.7
"40","LG VX 3200 ","2004","Main body","Basic mobile phone","Li-ion battery",22.7
"41","LG VX 3200 ","2004","Main body","Basic mobile phone","PCB",17.6
"42","LG VX 3200 ","2004","Main body","Basic mobile phone","Others",5.8
"43","LG VX 3200 ","2004","Main body","Basic mobile phone","Total mass (g)",89.7
"44","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Copper",6.5
"45","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Steel",0.4
"46","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Plastic",38.9
"47","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Li-ion battery",22.7
"48","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","PCB",17.6
"49","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Flat panel glass",3.7
"50","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Others",5.8
"51","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Total mass (g)",95.6
"52","Mototrola V276 ","2004","Display","Basic mobile phone","Aluminum",0.2
"53","Mototrola V276 ","2004","Display","Basic mobile phone","Plastic",3.5
"54","Mototrola V276 ","2004","Display","Basic mobile phone","PCB",2.7
"55","Mototrola V276 ","2004","Display","Basic mobile phone","Flat panel glass",5
"56","Mototrola V276 ","2004","Display","Basic mobile phone","Total mass (g)",11.4
"57","Mototrola V276 ","2004","Main body","Basic mobile phone","Aluminum",7
"58","Mototrola V276 ","2004","Main body","Basic mobile phone","Copper",5.4
"59","Mototrola V276 ","2004","Main body","Basic mobile phone","Steel",0.6
"60","Mototrola V276 ","2004","Main body","Basic mobile phone","Plastic",37.7
"61","Mototrola V276 ","2004","Main body","Basic mobile phone","Li-ion battery",23.1
"62","Mototrola V276 ","2004","Main body","Basic mobile phone","PCB",16.7
"63","Mototrola V276 ","2004","Main body","Basic mobile phone","Others",8.1
"64","Mototrola V276 ","2004","Main body","Basic mobile phone","Total mass (g)",98.6
"65","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Aluminum",7.2
"66","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Copper",5.4
"67","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Steel",0.6
"68","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Plastic",41.2
"69","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Li-ion battery",23.1
"70","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","PCB",19.4
"71","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Flat panel glass",5
"72","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Others",8.1
"73","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Total mass (g)",110
"74","LG VX5200 ","2005","Display","Basic mobile phone","Aluminum",1.5
"75","LG VX5200 ","2005","Display","Basic mobile phone","Plastic",2.6
"76","LG VX5200 ","2005","Display","Basic mobile phone","PCB",1.8
"77","LG VX5200 ","2005","Display","Basic mobile phone","Flat panel glass",5.4
"78","LG VX5200 ","2005","Display","Basic mobile phone","Total mass (g)",11.3
"79","LG VX5200 ","2005","Main body","Basic mobile phone","Aluminum",0.5
"80","LG VX5200 ","2005","Main body","Basic mobile phone","Copper",5
"81","LG VX5200 ","2005","Main body","Basic mobile phone","Steel",0.3
"82","LG VX5200 ","2005","Main body","Basic mobile phone","Plastic",37.3
"83","LG VX5200 ","2005","Main body","Basic mobile phone","Li-ion battery",21.6
"84","LG VX5200 ","2005","Main body","Basic mobile phone","PCB",13.4
"85","LG VX5200 ","2005","Main body","Basic mobile phone","Others",8.9
"86","LG VX5200 ","2005","Main body","Basic mobile phone","Total mass (g)",87
"87","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Aluminum",2
"88","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Copper",5
"89","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Steel",0.3
"90","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Plastic",39.9
"91","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Li-ion battery",21.6
"92","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","PCB",15.2
"93","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Flat panel glass",5.4
"94","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Others",8.9
"95","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Total mass (g)",98.3
"96","Motorola RAZR V3c ","2005","Display","Basic mobile phone","Flat panel glass",15.2
"97","Motorola RAZR V3c ","2005","Display","Basic mobile phone","Total mass (g)",15.2
"98","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Aluminum",27.6
"99","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Steel",0.6
"100","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Plastic",16.7
"101","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Li-ion battery",19.6
"102","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","PCB",11.6
"103","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Others",8.9
"104","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Total mass (g)",85
"105","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Aluminum",27.6
"106","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Steel",0.6
"107","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Plastic",16.7
"108","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Li-ion battery",19.6
"109","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","PCB",11.6
"110","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Flat panel glass",15.2
"111","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Others",8.9
"112","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Total mass (g)",100.2
"113","LG enV VX9100 ","2008","Display","Basic mobile phone","Flat panel glass",13.7
"114","LG enV VX9100 ","2008","Display","Basic mobile phone","Total mass (g)",13.7
"115","LG enV VX9100 ","2008","Main body","Basic mobile phone","Aluminum",13.1
"116","LG enV VX9100 ","2008","Main body","Basic mobile phone","Steel",0.7
"117","LG enV VX9100 ","2008","Main body","Basic mobile phone","Plastic",41.7
"118","LG enV VX9100 ","2008","Main body","Basic mobile phone","Li-ion battery",23.7
"119","LG enV VX9100 ","2008","Main body","Basic mobile phone","PCB",24.2
"120","LG enV VX9100 ","2008","Main body","Basic mobile phone","Others",7.6
"121","LG enV VX9100 ","2008","Main body","Basic mobile phone","Total mass (g)",111
"122","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Aluminum",13.1
"123","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Steel",0.7
"124","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Plastic",41.7
"125","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Li-ion battery",23.7
"126","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","PCB",24.2
"127","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Flat panel glass",13.7
"128","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Others",7.6
"129","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Total mass (g)",124.7
"130","LG VX 8360 ","2009","Display","Basic mobile phone","Flat panel glass",10.4
"131","LG VX 8360 ","2009","Display","Basic mobile phone","Total mass (g)",10.4
"132","LG VX 8360 ","2009","Main body","Basic mobile phone","Aluminum",3
"133","LG VX 8360 ","2009","Main body","Basic mobile phone","Copper",1.7
"134","LG VX 8360 ","2009","Main body","Basic mobile phone","Steel",0.3
"135","LG VX 8360 ","2009","Main body","Basic mobile phone","Plastic",39.9
"136","LG VX 8360 ","2009","Main body","Basic mobile phone","Li-ion battery",20.5
"137","LG VX 8360 ","2009","Main body","Basic mobile phone","PCB",14.4
"138","LG VX 8360 ","2009","Main body","Basic mobile phone","Others",5.2
"139","LG VX 8360 ","2009","Main body","Basic mobile phone","Total mass (g)",85
"140","LG VX 8360 ","2009","Total mass (g)","Basic mobile phone","Aluminum",3
"141","LG VX 8360 ","2009","Total mass (g)","Basic mobile phone","Copper",1.7
"142","LG VX 8360 ","2009","Total mass (g)","Basic mobile phone","Steel",0.3
"143","LG VX 8360 ","2009","Total mass (g)","Basic mobile phone","Plastic",39.9
"144","LG VX 8360 ","2009","Total mass (g)","Basic mobile phone","Li-ion battery",20.5
"145","LG VX 8360 ","2009","Total mass (g)","Basic mobile phone","PCB",14.4
"146","LG VX 8360 ","2009","Total mass (g)","Basic mobile phone","Flat panel glass",10.4
"147","LG VX 8360 ","2009","Total mass (g)","Basic mobile phone","Others",5.2
"148","LG VX 8360 ","2009","Total mass (g)","Basic mobile phone","Total mass (g)",95.4
"149","LG VN 530 Octane ","2010","Display","Basic mobile phone","Flat panel glass",19
"150","LG VN 530 Octane ","2010","Display","Basic mobile phone","Total mass (g)",19
"151","LG VN 530 Octane ","2010","Main body","Basic mobile phone","Steel",3
"152","LG VN 530 Octane ","2010","Main body","Basic mobile phone","Plastic",55.6
"153","LG VN 530 Octane ","2010","Main body","Basic mobile phone","Li-ion battery",21
"154","LG VN 530 Octane ","2010","Main body","Basic mobile phone","PCB",22.1
"155","LG VN 530 Octane ","2010","Main body","Basic mobile phone","Others",6.1
"156","LG VN 530 Octane ","2010","Main body","Basic mobile phone","Total mass (g)",107.8
"157","LG VN 530 Octane ","2010","Total mass (g)","Basic mobile phone","Steel",3
"158","LG VN 530 Octane ","2010","Total mass (g)","Basic mobile phone","Plastic",55.6
"159","LG VN 530 Octane ","2010","Total mass (g)","Basic mobile phone","Li-ion battery",21
"160","LG VN 530 Octane ","2010","Total mass (g)","Basic mobile phone","PCB",22.1
"161","LG VN 530 Octane ","2010","Total mass (g)","Basic mobile phone","Flat panel glass",19
"162","LG VN 530 Octane ","2010","Total mass (g)","Basic mobile phone","Others",6.1
"163","LG VN 530 Octane ","2010","Total mass (g)","Basic mobile phone","Total mass (g)",126.8
"164","Samsung BD P1000 ","2006","Case","Blu-ray player ","Aluminum",26.5
"165","Samsung BD P1000 ","2006","Case","Blu-ray player ","Steel",1976.5
"166","Samsung BD P1000 ","2006","Case","Blu-ray player ","Plastic",315.4
"167","Samsung BD P1000 ","2006","Case","Blu-ray player ","Total mass (g)",2318.4
"168","Samsung BD P1000 ","2006","Disk drive","Blu-ray player ","Copper",133
"169","Samsung BD P1000 ","2006","Disk drive","Blu-ray player ","Steel",625.5
"170","Samsung BD P1000 ","2006","Disk drive","Blu-ray player ","Plastic",178.7
"171","Samsung BD P1000 ","2006","Disk drive","Blu-ray player ","PCB",84.8
"172","Samsung BD P1000 ","2006","Disk drive","Blu-ray player ","Others",55.2
"173","Samsung BD P1000 ","2006","Disk drive","Blu-ray player ","Total mass (g)",1077.2
"174","Samsung BD P1000 ","2006","Interior modules","Blu-ray player ","Copper",28.6
"175","Samsung BD P1000 ","2006","Interior modules","Blu-ray player ","Steel",4.9
"176","Samsung BD P1000 ","2006","Interior modules","Blu-ray player ","Plastic",55.6
"177","Samsung BD P1000 ","2006","Interior modules","Blu-ray player ","PCB",952.6
"178","Samsung BD P1000 ","2006","Interior modules","Blu-ray player ","Other glass",22.2
"179","Samsung BD P1000 ","2006","Interior modules","Blu-ray player ","Total mass (g)",1063.9
"180","Samsung BD P1000 ","2006","Total mass (g)","Blu-ray player ","Aluminum",26.5
"181","Samsung BD P1000 ","2006","Total mass (g)","Blu-ray player ","Copper",161.6
"182","Samsung BD P1000 ","2006","Total mass (g)","Blu-ray player ","Steel",2606.9
"183","Samsung BD P1000 ","2006","Total mass (g)","Blu-ray player ","Plastic",549.7
"184","Samsung BD P1000 ","2006","Total mass (g)","Blu-ray player ","PCB",1037.4
"185","Samsung BD P1000 ","2006","Total mass (g)","Blu-ray player ","Other glass",22.2
"186","Samsung BD P1000 ","2006","Total mass (g)","Blu-ray player ","Others",55.2
"187","Samsung BD P1000 ","2006","Total mass (g)","Blu-ray player ","Total mass (g)",4459.5
"188","Samsung BD P1400 ","2007","Case","Blu-ray player ","Steel",1890
"189","Samsung BD P1400 ","2007","Case","Blu-ray player ","Plastic",276.4
"190","Samsung BD P1400 ","2007","Case","Blu-ray player ","Total mass (g)",2166.4
"191","Samsung BD P1400 ","2007","Disk drive","Blu-ray player ","Copper",18.3
"192","Samsung BD P1400 ","2007","Disk drive","Blu-ray player ","Steel",654.3
"193","Samsung BD P1400 ","2007","Disk drive","Blu-ray player ","Plastic",178.4
"194","Samsung BD P1400 ","2007","Disk drive","Blu-ray player ","PCB",78.2
"195","Samsung BD P1400 ","2007","Disk drive","Blu-ray player ","Others",58.5
"196","Samsung BD P1400 ","2007","Disk drive","Blu-ray player ","Total mass (g)",987.7
"197","Samsung BD P1400 ","2007","Interior modules","Blu-ray player ","Copper",101.7
"198","Samsung BD P1400 ","2007","Interior modules","Blu-ray player ","Steel",148.1
"199","Samsung BD P1400 ","2007","Interior modules","Blu-ray player ","Plastic",46.8
"200","Samsung BD P1400 ","2007","Interior modules","Blu-ray player ","PCB",532
"201","Samsung BD P1400 ","2007","Interior modules","Blu-ray player ","Other glass",25
"202","Samsung BD P1400 ","2007","Interior modules","Blu-ray player ","Total mass (g)",853.6
"203","Samsung BD P1400 ","2007","Total mass (g)","Blu-ray player ","Copper",120
"204","Samsung BD P1400 ","2007","Total mass (g)","Blu-ray player ","Steel",2692.4
"205","Samsung BD P1400 ","2007","Total mass (g)","Blu-ray player ","Plastic",501.6
"206","Samsung BD P1400 ","2007","Total mass (g)","Blu-ray player ","PCB",610.2
"207","Samsung BD P1400 ","2007","Total mass (g)","Blu-ray player ","Other glass",25
"208","Samsung BD P1400 ","2007","Total mass (g)","Blu-ray player ","Others",58.5
"209","Samsung BD P1400 ","2007","Total mass (g)","Blu-ray player ","Total mass (g)",4007.7
"210","Toshiba BDK33KU ","approx. 2012","Case","Blu-ray player ","Steel",455
"211","Toshiba BDK33KU ","approx. 2012","Case","Blu-ray player ","Plastic",80
"212","Toshiba BDK33KU ","approx. 2012","Case","Blu-ray player ","Total mass (g)",535
"213","Toshiba BDK33KU ","approx. 2012","Disk drive","Blu-ray player ","Copper",4.8
"214","Toshiba BDK33KU ","approx. 2012","Disk drive","Blu-ray player ","Steel",67.19
"215","Toshiba BDK33KU ","approx. 2012","Disk drive","Blu-ray player ","Plastic",137.6
"216","Toshiba BDK33KU ","approx. 2012","Disk drive","Blu-ray player ","PCB",0.8
"217","Toshiba BDK33KU ","approx. 2012","Disk drive","Blu-ray player ","Others",2.9
"218","Toshiba BDK33KU ","approx. 2012","Disk drive","Blu-ray player ","Total mass (g)",213.29
"219","Toshiba BDK33KU ","approx. 2012","Interior modules","Blu-ray player ","Copper",33.2
"220","Toshiba BDK33KU ","approx. 2012","Interior modules","Blu-ray player ","Steel",6.1
"221","Toshiba BDK33KU ","approx. 2012","Interior modules","Blu-ray player ","Plastic",55.5
"222","Toshiba BDK33KU ","approx. 2012","Interior modules","Blu-ray player ","PCB",140
"223","Toshiba BDK33KU ","approx. 2012","Interior modules","Blu-ray player ","Total mass (g)",234.8
"224","Toshiba BDK33KU ","approx. 2012","Total mass (g)","Blu-ray player ","Copper",38
"225","Toshiba BDK33KU ","approx. 2012","Total mass (g)","Blu-ray player ","Steel",528.29
"226","Toshiba BDK33KU ","approx. 2012","Total mass (g)","Blu-ray player ","Plastic",273.1
"227","Toshiba BDK33KU ","approx. 2012","Total mass (g)","Blu-ray player ","PCB",140.8
"228","Toshiba BDK33KU ","approx. 2012","Total mass (g)","Blu-ray player ","Others",2.9
"229","Toshiba BDK33KU ","approx. 2012","Total mass (g)","Blu-ray player ","Total mass (g)",983.09
"230","Toshiba BDK33KU ","approx. 2012","Cabinet","CRT monitor","Plastic",2480
"231","Toshiba BDK33KU ","approx. 2012","Cabinet","CRT monitor","Total mass (g)",2480
"232","Toshiba BDK33KU ","approx. 2012","Display","CRT monitor","CRT glass",7749
"233","Toshiba BDK33KU ","approx. 2012","Display","CRT monitor","Total mass (g)",7749
"234","Toshiba BDK33KU ","approx. 2012","Electrolytic capacitors","CRT monitor","Aluminum",61.13
"235","Toshiba BDK33KU ","approx. 2012","Electrolytic capacitors","CRT monitor","Copper",61.13
"236","Toshiba BDK33KU ","approx. 2012","Electrolytic capacitors","CRT monitor","Others",30.56
"237","Toshiba BDK33KU ","approx. 2012","Electrolytic capacitors","CRT monitor","Total mass (g)",152.82
"238","Toshiba BDK33KU ","approx. 2012","Frame","CRT monitor","Steel",439
"239","Toshiba BDK33KU ","approx. 2012","Frame","CRT monitor","Total mass (g)",439
"240","Toshiba BDK33KU ","approx. 2012","Heat sink","CRT monitor","Aluminum",280.96
"241","Toshiba BDK33KU ","approx. 2012","Heat sink","CRT monitor","Total mass (g)",280.96
"242","Toshiba BDK33KU ","approx. 2012","ICs","CRT monitor","PCB",13.86
"243","Toshiba BDK33KU ","approx. 2012","ICs","CRT monitor","Total mass (g)",13.86
"244","Toshiba BDK33KU ","approx. 2012","Inductor coils","CRT monitor","Copper",37.52
"245","Toshiba BDK33KU ","approx. 2012","Inductor coils","CRT monitor","Steel",37.52
"246","Toshiba BDK33KU ","approx. 2012","Inductor coils","CRT monitor","Plastic",18.76
"247","Toshiba BDK33KU ","approx. 2012","Inductor coils","CRT monitor","Total mass (g)",93.81
"248","Toshiba BDK33KU ","approx. 2012","monitor cable","CRT monitor","Copper",217.8
"249","Toshiba BDK33KU ","approx. 2012","monitor cable","CRT monitor","Plastic",72.6
"250","Toshiba BDK33KU ","approx. 2012","monitor cable","CRT monitor","Total mass (g)",290.4
"251","Toshiba BDK33KU ","approx. 2012","Motherboard","CRT monitor","Steel",105.21
"252","Toshiba BDK33KU ","approx. 2012","Motherboard","CRT monitor","PCB",645.47
"253","Toshiba BDK33KU ","approx. 2012","Motherboard","CRT monitor","Total mass (g)",750.68
"254","Toshiba BDK33KU ","approx. 2012","Socket","CRT monitor","Plastic",338.37
"255","Toshiba BDK33KU ","approx. 2012","Socket","CRT monitor","Total mass (g)",338.37
"256","Toshiba BDK33KU ","approx. 2012","Transformers","CRT monitor","Copper",254.7
"257","Toshiba BDK33KU ","approx. 2012","Transformers","CRT monitor","Steel",254.7
"258","Toshiba BDK33KU ","approx. 2012","Transformers","CRT monitor","Total mass (g)",509.39
"259","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Aluminum",342.09
"260","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Copper",571.15
"261","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Steel",836.43
"262","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Plastic",2909.73
"263","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","PCB",659.33
"264","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","CRT glass",7749
"265","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Others",30.56
"266","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Total mass (g)",13098.29
"267","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Aluminum",270
"268","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Copper",376.03
"269","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Steel",5410
"270","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Plastic",3368.75
"271","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","PCB",850
"272","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","CRT glass",9760
"273","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Other metals",855
"274","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Others",270
"275","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Total mass (g)",21159.78
"276","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Copper",590.1
"277","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Steel",742.7
"278","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Plastic",822.2
"279","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","PCB",1676
"280","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","CRT glass",7787
"281","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Others",72
"282","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Total mass (g)",11690
"283","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Aluminum",49
"284","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Copper",892
"285","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Steel",1324
"286","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Plastic",2607
"287","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","CRT glass",9393
"288","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Others",385
"289","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Total mass (g)",14650
"290","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Aluminum",238
"291","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Copper",839
"292","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Steel",770
"293","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Plastic",1913
"294","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","PCB",1385
"295","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","CRT glass",8428
"296","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Other metals",686
"297","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Others",393
"298","Toshiba BDK33KU ","approx. 2012","Total mass (g)","CRT monitor","Total mass (g)",14652
"299","Toshiba BDK33KU ","approx. 2012","Chasis","CRT TV","Copper",7
"300","Toshiba BDK33KU ","approx. 2012","Chasis","CRT TV","Steel",60
"301","Toshiba BDK33KU ","approx. 2012","Chasis","CRT TV","Plastic",4600
"302","Toshiba BDK33KU ","approx. 2012","Chasis","CRT TV","Other metals",673
"303","Toshiba BDK33KU ","approx. 2012","Chasis","CRT TV","Total mass (g)",5340
"304","Toshiba BDK33KU ","approx. 2012","Display","CRT TV","Copper",1745
"305","Toshiba BDK33KU ","approx. 2012","Display","CRT TV","Steel",4046
"306","Toshiba BDK33KU ","approx. 2012","Display","CRT TV","Plastic",421
"307","Toshiba BDK33KU ","approx. 2012","Display","CRT TV","PCB",28
"308","Toshiba BDK33KU ","approx. 2012","Display","CRT TV","CRT glass",27360.4
"309","Toshiba BDK33KU ","approx. 2012","Display","CRT TV","Other metals",93
"310","Toshiba BDK33KU ","approx. 2012","Display","CRT TV","Others",3
"311","Toshiba BDK33KU ","approx. 2012","Display","CRT TV","Total mass (g)",33696.4
"312","Toshiba BDK33KU ","approx. 2012","Motherboard","CRT TV","Aluminum",321
"313","Toshiba BDK33KU ","approx. 2012","Motherboard","CRT TV","Steel",66
"314","Toshiba BDK33KU ","approx. 2012","Motherboard","CRT TV","Plastic",2
"315","Toshiba BDK33KU ","approx. 2012","Motherboard","CRT TV","PCB",349
"316","Toshiba BDK33KU ","approx. 2012","Motherboard","CRT TV","Other metals",886.8
"317","Toshiba BDK33KU ","approx. 2012","Motherboard","CRT TV","Others",98
"318","Toshiba BDK33KU ","approx. 2012","Motherboard","CRT TV","Total mass (g)",1722.8
"319","Toshiba BDK33KU ","approx. 2012","Power supply unit","CRT TV","PCB",38
"320","Toshiba BDK33KU ","approx. 2012","Power supply unit","CRT TV","Other metals",372.7
"321","Toshiba BDK33KU ","approx. 2012","Power supply unit","CRT TV","Others",2
"322","Toshiba BDK33KU ","approx. 2012","Power supply unit","CRT TV","Total mass (g)",412.7
"323","Toshiba BDK33KU ","approx. 2012","Remote","CRT TV","Steel",2
"324","Toshiba BDK33KU ","approx. 2012","Remote","CRT TV","Plastic",72
"325","Toshiba BDK33KU ","approx. 2012","Remote","CRT TV","PCB",14
"326","Toshiba BDK33KU ","approx. 2012","Remote","CRT TV","Other metals",36.2
"327","Toshiba BDK33KU ","approx. 2012","Remote","CRT TV","Others",17.2
"328","Toshiba BDK33KU ","approx. 2012","Remote","CRT TV","Total mass (g)",141.4
